filename,placename,lat,lng,country,category,been,flag
First,First,46.660531,8.053066,Switzerland,mountain,y,&#127464&#127469
Jungfraujoch,Jungfraujoch,46.547518,7.985448,Switzerland,mountain,y,&#127464&#127469
Riffelsee,Riffelsee,45.9832999,7.761384,Switzerland,mountain,y,&#127464&#127469
Triberg,Triberg,48.128641,8.230478,Germany,town,y,&#127465&#127466
DurdleDoor,Durdle Door,50.621103,-2.276568,United Kingdom,coast,y,&#127468&#127463
JurassicCoast,Jurassic Coast,50.622026,-2.274362,United Kingdom,coast,y,&#127468&#127463
Bluecave,Blue Cave,26.48587,127.84825,Japan,coast,y,&#127471&#127477
NordTexel,Lighthouse Texel,53.182108,4.853049,Netherlands,coast,y,&#127475&#127473
Bournemouth,Bournemouth,50.7184,-1.8784,United Kingdom,coast,y,&#127468&#127463
Mummelsee,Mummelsee,48.597568,8.200805,Germany,coast,y,&#127465&#127466
Titisee,Titisee,47.8987703,8.1524791,Germany,coast,y,&#127465&#127466
Brienz,Brienz,46.753821,8.037051,Switzerland,coast,y,&#127464&#127469
Thun,Thun,46.6667457,7.828315,Switzerland,coast,y,&#127464&#127469
Bled,Bled,46.364627,14.091587,Slovenia,coast,y,&#127480&#127470
PhonixPark,Phonix Park,53.355899,-6.330144,Ireland,attraction,y,&#127470&#127466
Stonehenge,Stonehenge,51.178884,-1.826214,United Kingdom,attraction,y,&#127468&#127463
KsIto,Ito Onsen,34.971847,139.097305,Japan,attraction,y,&#127471&#127477
Lisse,Lisse,52.2667,4.55,Netherlands,attraction,y,&#127475&#127473
MontSaint-Michel,Mont Saint-Michel,48.636004,-1.511085,France,attraction,y,&#127467&#127479
RilaMonastery,Rila Monastery,42.13346,23.340203,Bulgaria,attraction,y,&#127463&#127468
Kinderdijk,Kinderdijk,51.887462,4.638011,Netherlands,attraction,y,&#127475&#127473
Burano,Burano,45.486734,12.417873,Italy,attraction,y,&#127470&#127481
PelesCastle,Peles Castle,45.359696,25.542641,Romania,attraction,y,&#127479&#127476
BranCastle,Bran Castle,45.514804,25.366981,Romania,attraction,y,&#127479&#127476
BismarckDenkmal,"Bismarck Denkmal, Feldberg",47.866128,8.025316,Germany,attraction,y,&#127465&#127466
Blackforestline,Blackforestline Hangebrucke,47.844005,7.93616,Germany,attraction,y,&#127465&#127466
BurgruineStaufen,"Burgruine Staufen, Burgweg",47.886551,7.731729,Germany,attraction,y,&#127465&#127466
CuckooClock,World's Largest Cuckoo Clock,48.14772,8.240987,Germany,attraction,y,&#127465&#127466
Auschwitz-Birkenau,Auschwitz-Birkenau,50.03353,19.209361,Poland,other,y,&#127477&#127473
BT,Biaka Tatrzaska,49.3684,20.06105,Poland,ski,y,&#127477&#127473
Patscherkofel,Patscherkofel,47.18876,11.44679,Austria,ski,y,&#127462&#127481
AxamerLizum,Axamer Lizum,47.20364,11.48804,Austria,ski,y,&#127462&#127481
Nordkette,Nordkette,47.28664,11.40491,Austria,ski,y,&#127462&#127481
GrandeRochette,Grande Rochette,45.491606,6.684505,France,sb,y,&#127467&#127479
LaPlagne1800,La Plagne 1800,45.512423,6.677257,France,sb,y,&#127467&#127479
Bansko,Bansko,41.82739,23.482773,Bulgaria,sb,y,&#127463&#127468
Todorka,Todorka,41.757901,23.435364,Bulgaria,sb,y,&#127463&#127468
Plato,Plato Ski Slope,41.76054,23.446597,Bulgaria,sb,y,&#127463&#127468
Valdisere,Val d'Isere,45.446948,6.983414,France,sb,y,&#127467&#127479
Stanford,Stanford,37.4275,-122.1697,United States,city,y,&#127482&#127480
FishermansWharf,Fisherman's Wharf,37.8096,-122.415,United States,attraction,y,&#127482&#127480
PowellCableCar,Powell-Hyde Cable Car,37.7954,-122.4111,United States,attraction,y,&#127482&#127480
GoldenGateOverlook,Golden Gate Overlook,37.8084,-122.472987,United States,attraction,y,&#127482&#127480
TwinPeaks,Twin Peaks,37.7544,-122.4477,United States,mountain,y,&#127482&#127480
LawrenceHall,The Lawrence Hall of Science,37.8765,-122.2502,United States,attraction,y,&#127482&#127480
TheBulb,The Bulb,37.8831,-122.3108,United States,coast,y,&#127482&#127480
Berkeley,Berkeley,37.8715,-122.273,United States,city,y,&#127482&#127480
SatherGate,Sather Gate,37.8723,-122.2578,United States,attraction,y,&#127482&#127480
Richmond,Richmond,49.1666,-123.133,Canada,city,y,&#127464&#127462
Vancouver,Vancouver,49.2827,-123.1207,Canada,city,y,&#127464&#127462
StanleyPark,Stanley Park,49.3017,-123.1417,Canada,coast,y,&#127464&#127462
AngelsFlight,Angels Flight Railway,34.0504,-118.2509,United States,attraction,y,&#127482&#127480
UrbanLight,Urban Light,34.0637,-118.359,United States,attraction,y,&#127482&#127480
Griffith,Griffith Observatory,34.1184,-118.3004,United States,attraction,y,&#127482&#127480
TheBoard,The Board,34.0314,-118.2363,United States,attraction,y,&#127482&#127480
Hollywood,Hollywood,34.0928,-118.3287,United States,town,y,&#127482&#127480
SantaMonica,Santa Monica,34.0195,-118.4912,United States,coast,y,&#127482&#127480
Lowell,Lowell Observatory,35.2049,-111.6585,United States,attraction,y,&#127482&#127480
Flagstaff,Flagstaff,35.1983,-111.6513,United States,city,y,&#127482&#127480
Snowbowl,Arizona Snowbowl,35.3308,-111.7102,United States,sb,y,&#127482&#127480
Petrified,Petrified Forest National Park,35.0653,-109.781,United States,attraction,y,&#127482&#127480
WalnutCanyon,Walnut Canyon National Monument,35.1851,-111.5117,United States,attraction,y,&#127482&#127480
LowerAntelope,Lower Antelope Canyon,36.9144,-111.3858,United States,attraction,y,&#127482&#127480
YakiPoint,Grand Canyon (Yaki Point),36.058552,-112.082924,United States,mountain,y,&#127482&#127480
OohAahPoint,Grand Canyon (Ooh Aah Point),36.061383,-112.086986,United States,mountain,y,&#127482&#127480
PipeGreekVista,Grand Canyon (Pipe Greek Vista),36.047963,-112.092831,United States,mountain,y,&#127482&#127480
HorseshoeBend,Horseshoe Bend,36.8795,-111.51,United States,attraction,y,&#127482&#127480
Fira,Fira,36.4232628,25.4282559,Greece,attraction,y,&#127468&#127479
Oia,Oia,36.4660187,25.372967,Greece,attraction,y,&#127468&#127479
Foshan,Foshan,22.837999,113.250052,China,city,y,&#127464&#127475
Changsha,Changsha,28.181069,112.937627,China,city,y,&#127464&#127475
Asakusa,Asakusa,35.714765,139.796655,Japan,city,y,&#127471&#127477
Atami,Atami,35.097722,139.070701,Japan,city,y,&#127471&#127477
Dortmund,Dortmund,51.513587,7.465298,Germany,city,y,&#127465&#127466
Florence,Florence,43.76956,11.255814,Italy,city,y,&#127470&#127481
Kamakura,Kamakura,35.31961,139.546686,Japan,city,y,&#127471&#127477
Monterosso,Monterosso al Mare,44.146,9.6549,Italy,coast,y,&#127470&#127481
Bonn,Bonn,50.735159,7.099947,Germany,city,y,&#127465&#127466
SchlossDrachenburg,Schloss Drachenburg,50.668374,7.205784,Germany,attraction,y,&#127465&#127466
Munich,Munich,48.135125,11.581981,Germany,city,y,&#127465&#127466
Pisa,Pisa,43.722835,10.401689,Italy,city,y,&#127470&#127481
PortaWestfalica,Porta Westfalica,52.238056,8.918056,Germany,town,y,&#127465&#127466
Riomaggiore,Riomaggiore,44.097,9.7403,Italy,coast,y,&#127470&#127481
Manarola,Manarola,44.107393,9.726898,Italy,coast,y,&#127470&#127481
SchlossNeuschwanstein,Schloss Neuschwanstein,47.5576,10.7498,Germany,mountain,y,&#127465&#127466
Schwangau,Schwangau,47.5776,10.7338,Germany,town,y,&#127465&#127466
Shibuya,Shibuya,35.658034,139.701636,Japan,city,y,&#127471&#127477
Shichirigahama,Shichirigahama,35.306958,139.516254,Japan,coast,y,&#127471&#127477
ShimoYoshida,Shimo Yoshida,35.488484,138.810711,Japan,town,y,&#127471&#127477
Kawaguchiko,Kawaguchiko,35.50006,138.75554,Japan,town,y,&#127471&#127477
Vernazza,Vernazza,44.135,9.6833,Italy,coast,y,&#127470&#127481
Wuppertal,Wuppertal,51.256212,7.150764,Germany,city,y,&#127465&#127466
Yotsuya,Yotsuya,35.687519,139.728878,Japan,city,y,&#127471&#127477
Tirana,Tirana,41.327546,19.818698,Albania,city,y,&#127462&#127473
Ohrid,Ohrid,41.123097,20.801654,North Macedonia,city,y,&#127474&#127472
Skopje,Skopje,41.997346,21.427996,North Macedonia,city,y,&#127474&#127472
Kamakurakokomae,Kamakurakokomae,35.30681,139.500043,Japan,coast,y,&#127471&#127477
Ballstad,Ballstad,68.065956,13.531895,Norway,town,y,&#127475&#127476
Bodo,Bodo,67.285227,14.387631,Norway,city,y,&#127475&#127476
Heerlen,Heerlen,50.887828,5.978719,Netherlands,city,y,&#127475&#127473
Sakrisoya,Sakrisoya,67.941982,13.109786,Norway,attraction,y,&#127475&#127476
Oeschinensee,Oeschinensee,46.499876,7.716128,Switzerland,mountain,y,&#127464&#127469
Monchau,Monchau,50.555248,6.242296,Germany,town,y,&#127465&#127466
Aachen,Aachen,50.776382,6.083768,Germany,city,y,&#127465&#127466
Lofoten,Lofoten,67.945401,13.129811,Norway,attraction,y,&#127475&#127476
PhnomPenh,Phnom Penh,11.556216,104.927666,Cambodia,city,y,&#127472&#127469
SiemReap,Siem Reap,13.412552,103.863902,Cambodia,city,y,&#127472&#127469
Sarria,Sarria,42.778324,-7.424258,Spain,town,y,&#127466&#127480
Camino,Camino,42.785029,-7.541961,Spain,town,y,&#127466&#127480
Portomarin,Portomarin,42.805014,-7.616902,Spain,town,y,&#127466&#127480
PalasdeRei,Palas de Rei,42.873325,-7.876145,Spain,town,y,&#127466&#127480
Melide,Melide,42.912902,-8.02528,Spain,town,y,&#127466&#127480
Arzua,Arzua,42.926713,-8.162296,Spain,town,y,&#127466&#127480
Opino,Opino,42.905198,-8.361502,Spain,town,y,&#127466&#127480
SantiagodeCompostela,Santiago de Compostela,42.880493,-8.545588,Spain,city,y,&#127466&#127480
Fisterra,Fisterra,42.88204,-9.2715,Spain,coast,y,&#127466&#127480
Dubrovnik,Dubrovnik,42.642298,18.109316,Croatia,city,y,&#127469&#127479
Mostar,Mostar,43.336881,17.814877,Bosnia and Herzegovina,city,y,&#127463&#127462
Split,Split,43.508233,16.440521,Croatia,city,y,&#127469&#127479
Hongkong,Hong Kong,22.282594,114.170368,,city,y,&#127469&#127472
Istanbul,Istanbul,41.016427,28.964501,Turkey,city,y,&#127481&#127479
Zoetermeer,Zoetermeer,52.06938,4.458875,Netherlands,sb,y,&#127475&#127473
KaguraMitsumata,Kagura Mitsumata,36.888151,138.7547,Japan,ski,y,&#127471&#127477
Ishiuchi,Ishiuchi,36.979381,138.802647,Japan,ski,y,&#127471&#127477
Cervinia,Cervinia,45.936952,7.631733,Italy,sb,y,&#127470&#127481
Valthorens,Val Thorens,45.298296,6.56986,France,sb,y,&#127467&#127479
